onset	duration	trial_type
6.01729930871807	0.75	image_41
7.58376457111444	0.75	image_41
9.08359878535975	0.75	image_36
10.5667822937967	0.75	image_36
12.0666943403912	0.75	image_22
13.5665351119405	0.75	image_22
15.0663927044006	0.75	image_13
16.5662092424354	0.75	image_13
18.066100191616	0.75	image_15
19.5659349760617	0.75	image_15
21.0658236444415	0.75	catch
22.582238714951	0.75	catch
24.0656525843333	0.75	image_23
25.5653969920222	0.75	image_23
27.0651853051386	0.75	image_57
28.5650203746845	0.75	image_57
30.064898209258	0.75	image_32
31.5647081899879	0.75	image_32
33.06463278099	0.75	image_2
34.5811239732475	0.75	image_2
36.0809513450886	0.75	image_48
37.5808271839605	0.75	image_48
39.0806599727048	0.75	catch
40.5804896253476	0.75	catch
42.0803150014872	0.75	memoryitem_135
43.5801691727447	0.75	memoryitem_135
45.0801040273536	0.75	image_53
46.5798735238586	0.75	image_53
48.0797182868109	0.75	image_44
49.5795701772668	0.75	image_44
51.0794514330419	0.75	image_47
52.5793172934073	0.75	image_47
54.0792994746462	0.75	catch
55.5957376382703	0.75	catch
57.0788199361432	0.75	image_58
58.5786587119919	0.75	image_58
60.0785667671835	0.75	image_17
61.5784557206634	0.75	image_17
63.0782212257654	0.75	image_60
64.5781583611761	0.75	image_60
66.0780159536362	0.75	catch
67.5778091134553	0.75	catch
69.0776367703966	0.75	image_24
70.5774746909447	0.75	image_24
72.0773873077396	0.75	image_43
73.5772765463198	0.75	image_43
75.0770682806378	0.75	image_9
76.5768888100747	0.75	image_9
78.0767529598388	0.75	memoryitem_112
79.5933707365766	0.75	memoryitem_112
81.0765052077832	0.75	image_20
82.5763525366365	0.75	image_20
84.0761619471659	0.75	catch
85.5760383562383	0.75	catch
87.0758799830883	0.75	image_38
88.5757649451652	0.75	image_38
90.0755826236009	0.75	image_3
91.5753871874276	0.75	image_3
93.0752459202877	0.75	catch
94.5751254654624	0.75	catch
96.0750423587597	0.75	image_35
97.5748340930777	0.75	image_35
99.0746614649188	0.75	image_21
100.574510504374	0.75	image_21
102.074438231478	0.75	image_5
103.574335167763	0.75	image_5
105.074150850497	0.75	image_50
106.574055199387	0.75	image_50
108.073802743177	0.75	catch
109.573543729663	0.75	catch
111.073487992579	0.75	image_63
112.57345791451	0.75	image_63
114.073193484092	0.75	image_64
115.573130619503	0.75	image_64
117.072967969851	0.75	catch
118.572767401874	0.75	catch
120.072615586028	0.75	memoryitem_126
121.572431838962	0.75	memoryitem_126
123.072392067487	0.75	image_40
124.572171257398	0.75	image_40
126.072002905741	0.75	image_34
127.571909535432	0.75	image_34
129.07176285139	0.75	image_29
130.571620728951	0.75	image_29
132.071436411684	0.75	image_18
133.571253234818	0.75	image_18
135.071099708372	0.75	catch
136.570949603127	0.75	catch
138.087477003107	0.75	image_49
139.587325187261	0.75	image_49
141.087252914365	0.75	image_37
142.587059758994	0.75	image_37
144.086838663804	0.75	image_46
145.586741872293	0.75	image_46
147.08662597907	0.75	image_28
148.586416002788	0.75	image_28
150.086437812951	0.75	catch
151.586138600313	0.75	catch
153.086086569529	0.75	image_7
154.585863763739	0.75	image_7
156.085762980825	0.75	image_30
157.585533902831	0.75	image_30
159.085497552558	0.75	catch
160.585304397186	0.75	catch
162.085075319192	0.75	memoryitem_115
163.584894423127	0.75	memoryitem_115
165.068185984533	0.75	image_59
166.584617020652	0.75	image_59
168.084529922548	0.75	image_26
169.600982911381	0.75	image_26
171.084172121821	0.75	catch
172.584023727178	0.75	catch
174.083879609037	0.75	image_19
175.583730929293	0.75	image_19
177.083636703684	0.75	image_27
178.583492015342	0.75	image_27
180.083375266819	0.75	image_11
181.583154456729	0.75	image_11
183.082979262668	0.75	catch
184.582894445365	0.75	catch
186.082803355857	0.75	image_8
187.582589673273	0.75	image_8
189.082449261434	0.75	image_4
190.582305143294	0.75	image_4
192.08209402661	0.75	image_45
193.581961597576	0.75	image_45
195.081978846137	0.75	catch
196.581639149273	0.75	catch
198.081465380713	0.75	memoryitem_154
199.581381703811	0.75	memoryitem_154
201.081228747564	0.75	image_55
202.581083489022	0.75	image_55
204.080949919588	0.75	catch
205.580749351611	0.75	catch
207.080653700501	0.75	image_16
208.580516709864	0.75	image_16
210.08027309176	0.75	image_54
211.580170598246	0.75	image_54
213.080070670633	0.75	image_10
214.579949360506	0.75	image_10
216.079751073331	0.75	image_14
217.579600397886	0.75	image_14
219.079500755373	0.75	catch
220.579287642989	0.75	catch
222.07917830707	0.75	image_25
223.579008815012	0.75	image_25
225.078914874503	0.75	image_42
226.57879755578	0.75	image_42
228.078563631082	0.75	image_61
229.578392998624	0.75	image_61
231.07825828879	0.75	memoryitem_159
232.594758034053	0.75	memoryitem_159
234.078032204347	0.75	image_52
235.577801985951	0.75	image_52
237.077612536882	0.75	image_33
238.59410372914	0.75	image_33
240.093957615297	0.75	image_56
241.593830032966	0.75	image_56
243.093710433441	0.75	image_62
244.593562323897	0.75	image_62
246.093386559636	0.75	image_39
247.593239305394	0.75	image_39
249.093129114174	0.75	image_51
250.592917712391	0.75	image_51
252.092854562701	0.75	image_1
253.592717001864	0.75	image_1
255.092521565691	0.75	image_31
256.592341239827	0.75	image_31
258.092277519937	0.75	image_6
259.592069539355	0.75	image_6
261.091964479939	0.75	image_12
262.591798979284	0.75	image_12
