onset	duration	trial_type
6.01227296105571	0.75	image_42
7.57867490337958	0.75	image_42
9.09534609362527	0.75	image_23
10.5784670658832	0.75	image_23
12.0782321439365	0.75	image_3
13.5780801859328	0.75	image_3
15.0946738291277	0.75	catch
16.5778292984178	0.75	catch
18.0777440536804	0.75	image_27
19.5773634459183	0.75	image_27
21.0940480358367	0.75	image_54
22.5771499064322	0.75	image_54
24.0769663023857	0.75	catch
25.5768539732053	0.75	catch
27.0766869049257	0.75	image_7
28.5765848393239	0.75	image_7
30.0764029458769	0.75	image_46
31.5762595408523	0.75	image_46
33.0760938980748	0.75	image_51
34.5759433655658	0.75	image_51
36.0757589062232	0.75	catch
37.575643440945	0.75	catch
39.075514575994	0.75	memoryitem_116
40.5753078788948	0.75	memoryitem_116
42.0751678950655	0.75	image_41
43.5750729569481	0.75	image_41
45.0748699661417	0.75	image_2
46.5748109505585	0.75	image_2
48.0745592077437	0.75	catch
49.5744497295564	0.75	catch
51.0742350496694	0.75	image_8
52.5741173036004	0.75	image_8
54.0739684816872	0.75	image_21
55.5738401869348	0.75	image_21
57.073711607085	0.75	image_9
58.5734972122991	0.75	image_9
60.0733418331001	0.75	image_22
61.5731619353464	0.75	image_22
63.0730122581372	0.75	image_49
64.5729101925353	0.75	image_49
66.0727910209644	0.75	catch
67.5726074169215	0.75	catch
69.0724018602195	0.75	image_6
70.5722786972547	0.75	image_6
72.072156104492	0.75	image_33
73.5719411395112	0.75	image_33
75.0718233934385	0.75	memoryitem_156
76.5716777076195	0.75	memoryitem_156
78.0715166264308	0.75	image_48
79.5714635979348	0.75	image_48
81.0712412203648	0.75	image_62
82.5710641736077	0.75	image_62
84.0709002414224	0.75	catch
85.5707685254783	0.75	catch
87.0706422264229	0.75	image_53
88.5705509945983	0.75	image_53
90.07030295808	0.75	image_18
91.5703337488194	0.75	image_18
93.0700968311794	0.75	image_55
94.5698405267722	0.75	image_55
96.0696857177718	0.75	image_57
97.5696158684077	0.75	image_57
99.069449940529	0.75	catch
100.569278310661	0.75	catch
102.069122076166	0.75	image_1
103.585614509055	0.75	image_1
105.0854351815	0.75	image_16
106.585313444037	0.75	image_16
108.08508907077	0.75	catch
109.584974175694	0.75	catch
111.084872110092	0.75	image_20
112.584697344129	0.75	image_20
114.084478387751	0.75	image_32
115.584394568516	0.75	image_32
117.084223793943	0.75	memoryitem_131
118.584046176988	0.75	memoryitem_131
120.083895359381	0.75	image_63
121.583779894103	0.75	image_63
123.08359144337	0.75	catch
124.583474837695	0.75	catch
126.083268425693	0.75	image_44
127.583145547833	0.75	image_44
129.083097936222	0.75	image_14
130.582830227842	0.75	image_14
132.082673708243	0.75	image_4
133.582518899242	0.75	image_4
135.082340141889	0.75	image_13
136.582191605077	0.75	image_13
138.082073573903	0.75	catch
139.581929883781	0.75	catch
141.081818980099	0.75	image_19
142.581578071065	0.75	image_19
144.081517059782	0.75	image_24
145.581280427239	0.75	image_24
147.081173800045	0.75	image_11
148.580977651625	0.75	image_11
150.08083025521	0.75	catch
151.580811153548	0.75	catch
153.080530900788	0.75	image_10
154.580384644774	0.75	image_10
156.080257775517	0.75	memoryitem_154
157.58005478471	0.75	memoryitem_154
159.07989512902	0.75	image_25
160.579782229637	0.75	image_25
162.079645952101	0.75	image_40
163.579438684803	0.75	image_40
165.079313811246	0.75	image_26
166.579196350271	0.75	image_26
168.078989082973	0.75	catch
169.578886447172	0.75	catch
171.0787165279	0.75	image_47
172.578569416586	0.75	image_47
174.078395505923	0.75	image_12
175.578242977717	0.75	image_12
177.078067641556	0.75	catch
178.577998362391	0.75	catch
180.077774844423	0.75	image_36
181.577696442073	0.75	image_36
183.07749744266	0.75	image_43
184.577427593293	0.75	image_43
186.077217189901	0.75	image_17
187.577109422309	0.75	image_17
189.076900729513	0.75	image_30
190.57680008941	0.75	image_30
192.076622187353	0.75	image_34
193.576423187937	0.75	image_34
195.076307437561	0.75	catch
196.576132956699	0.75	catch
198.075850993344	0.75	memoryitem_118
199.592497379937	0.75	memoryitem_118
201.092301516615	0.75	image_39
202.592160392389	0.75	image_39
204.092027536048	0.75	image_60
205.591844217102	0.75	image_60
207.091694539889	0.75	image_29
208.591584206402	0.75	image_29
210.091371807313	0.75	catch
211.591224981097	0.75	catch
213.091098111843	0.75	image_64
214.590980650872	0.75	image_64
216.090828407767	0.75	image_37
217.590636820936	0.75	image_37
219.090539031826	0.75	catch
220.590298122792	0.75	catch
222.090208886664	0.75	image_31
223.590101689271	0.75	image_31
225.089908106747	0.75	image_38
226.589710532829	0.75	image_38
228.089621011601	0.75	image_59
229.589375540978	0.75	image_59
231.089143470028	0.75	memoryitem_103
232.588993507718	0.75	memoryitem_103
234.088941619615	0.75	image_15
235.588783389423	0.75	image_15
237.12200859404	0.75	image_52
238.588490877388	0.75	image_52
240.088334642893	0.75	image_28
241.588238849476	0.75	image_28
243.087935788764	0.75	image_35
244.587861662905	0.75	image_35
246.087734508554	0.75	image_5
247.587614481683	0.75	image_5
249.08744142632	0.75	image_56
250.587164594755	0.75	image_56
252.087135229511	0.75	image_61
253.5869339493	0.75	image_61
255.086782276394	0.75	image_45
256.58664086707	0.75	image_45
258.086518844506	0.75	image_50
259.58641278751	0.75	image_50
261.086249140426	0.75	image_58
262.586106305604	0.75	image_58
