onset	duration	trial_type
6.01995781668302	0.75	image_11
7.56962299589213	0.75	image_11
9.06949527133838	0.75	image_32
10.5692492305134	0.75	image_32
12.0692361159417	0.75	image_38
13.568984373127	0.75	image_38
15.0689666969629	0.75	image_14
16.5688466700922	0.75	image_14
18.0685932166853	0.75	image_40
19.5683708391152	0.75	image_40
21.0683819579936	0.75	catch
22.5680549489261	0.75	catch
24.0846525835113	0.75	image_43
25.5677595858979	0.75	image_43
27.0676090533889	0.75	image_48
28.5674308662346	0.75	image_48
30.0672954439942	0.75	image_23
31.5671523240708	0.75	image_23
33.0669989405687	0.75	catch
34.5669524693585	0.75	catch
36.0667454871582	0.75	image_33
37.5665373645606	0.75	image_33
39.0664341585616	0.75	image_15
40.5663038681123	0.75	image_15
42.0660532656984	0.75	image_20
43.5659263964444	0.75	image_20
45.0658223351456	0.75	image_47
46.5656184890395	0.75	image_47
48.0654106515431	0.75	catch
49.5653236962098	0.75	catch
51.0652142180224	0.75	image_54
52.5651195650062	0.75	image_54
54.0649256973811	0.75	image_55
55.5647272681636	0.75	image_55
57.0645798717487	0.75	image_22
58.5644088120789	0.75	image_22
60.0642451649983	0.75	image_53
61.5640909261965	0.75	image_53
63.0639133092373	0.75	image_13
64.563863987034	0.75	image_13
66.0636832339842	0.75	catch
67.5635278547852	0.75	catch
69.0634103938137	0.75	image_18
70.5632989199294	0.75	image_18
72.0631098989943	0.75	image_39
73.5629394095231	0.75	image_39
75.0627224488417	0.75	image_35
76.5625893073993	0.75	image_35
78.0957683259076	0.75	image_36
79.5622528900531	0.75	image_36
81.0622229546098	0.75	image_44
82.5619840412728	0.75	image_44
84.0618209643872	0.75	catch
85.5616279520618	0.75	catch
87.061617118281	0.75	image_5
88.5614432076181	0.75	image_5
90.0779330746118	0.75	image_45
91.5611179091466	0.75	image_45
93.0776069208441	0.75	catch
94.56074956066	0.75	catch
96.0772388574551	0.75	image_9
97.5603977479404	0.75	image_9
99.0769312351513	0.75	image_61
100.560146290227	0.75	image_61
102.076599094293	0.75	catch
103.576473080338	0.75	catch
105.076322547829	0.75	image_49
106.576261251448	0.75	image_49
108.076065673227	0.75	image_30
109.575865818511	0.75	image_30
111.075771165495	0.75	image_16
112.608974417453	0.75	image_16
114.075392268329	0.75	image_7
115.575228336147	0.75	image_7
117.075098330799	0.75	catch
118.574942666499	0.75	catch
120.074793274387	0.75	image_42
121.574674673018	0.75	image_42
123.074496770962	0.75	image_28
124.574402403043	0.75	image_28
126.074248734443	0.75	image_62
127.574144673144	0.75	image_62
129.07385130581	0.75	image_37
130.573721585562	0.75	image_37
132.073568487158	0.75	image_51
133.573423656639	0.75	image_51
135.073218099937	0.75	catch
136.573110902544	0.75	catch
138.073001994555	0.75	image_46
139.572804705735	0.75	image_46
141.072615684803	0.75	image_60
142.57252302748	0.75	image_60
144.072492236741	0.75	image_3
145.572365937685	0.75	image_3
147.072086540225	0.75	catch
148.571870149743	0.75	catch
150.088449823066	0.75	image_25
151.571626389716	0.75	image_25
153.071573076119	0.75	image_41
154.571274576996	0.75	image_41
156.071155690526	0.75	image_57
157.570970946083	0.75	image_57
159.070971231184	0.75	image_6
160.570708369491	0.75	image_6
162.070532748232	0.75	catch
163.57048200053	0.75	catch
165.070203743468	0.75	image_59
166.57004779407	0.75	image_59
168.070033824199	0.75	image_50
169.569700257842	0.75	image_50
171.069605889927	0.75	image_21
172.569483582261	0.75	image_21
174.069341317638	0.75	catch
175.56913889703	0.75	catch
177.069093566217	0.75	image_34
178.568909677073	0.75	image_34
180.068751446877	0.75	image_2
181.568518520628	0.75	image_2
183.068334916585	0.75	image_19
184.568179252285	0.75	image_19
186.068056659522	0.75	catch
187.601342020123	0.75	catch
189.084475821855	0.75	image_56
190.567599645106	0.75	image_56
192.067462227173	0.75	image_8
193.567328515532	0.75	image_8
195.083840335185	0.75	catch
196.58366214803	0.75	catch
198.083505913532	0.75	image_4
199.583510190023	0.75	image_4
201.083177478966	0.75	image_24
202.583040916332	0.75	image_24
204.082904923893	0.75	catch
205.582738425815	0.75	catch
207.082583331718	0.75	image_10
208.582408565755	0.75	image_10
210.082296521672	0.75	image_58
211.582257748145	0.75	image_58
213.082023966599	0.75	image_17
214.581869442696	0.75	image_17
216.081706936013	0.75	image_31
217.581500524011	0.75	image_31
219.081361395482	0.75	catch
220.581153843083	0.75	catch
222.114546115976	0.75	image_52
223.58096938374	0.75	image_52
225.097531095795	0.75	image_29
226.580599609755	0.75	image_29
228.080447651748	0.75	image_64
229.580268039095	0.75	image_64
231.080221282788	0.75	image_26
232.580007173099	0.75	image_26
234.079838394227	0.75	image_1
235.579755715386	0.75	image_1
237.079540465304	0.75	image_27
238.579330347009	0.75	image_27
240.079283020503	0.75	image_63
241.579068910814	0.75	image_63
243.078899276643	0.75	image_12
244.578764709706	0.75	image_12
